Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
Delivery ;Am satisfied ;0;KWK;Desktop Web
at no point yet.;at no point yet. I ve only made a business trip with Konga for now. so I may not be 100% sure for now.;Mobile Phones;SHQ;Desktop Web
There's no difficulties at all;The Great shopping center indeed! How I wish all my properties is from Konga including home appliances even cars/houses. But pls kindly take another 7% discount off from ur prices. Keep on!;Mobile Phones;SHQ;Mobile Web
;Konga as an organization should monitor what sellers sell to buyers. Buyers won't get angry with the seller but with Konga cause they are the only medium they have to the seller and they are the only one they know;Women's Shoes;SHQ;Mobile Web
;The delivery fee doesnt make any sense, why pay for each product delivery when everything can come once for that same price.;Beverages;SHQ;Mobile Web
none;none;Mobile Phones;KWK;Desktop Web
KOS KEBBI STATION;;Mobile Phones;KWK;Desktop Web
When i had to return a bad product;They should screen prospective sellers on konga cause of fake products ;Phone and Tablet Accessories;SHQ;Mobile Web
Trying to change a size;Work on you app please.;Kids Clothing and Accessories;SHQ;Mobile Web
during delivery, I have to be caling and calling b4 I get my order.;my advice is dis, I think konga need to improve on their delivery system.;Mobile Phones;KWK & SHQ;Desktop Web
None;Konga services quite satisfactory.;Mobile Phones;KWK;Konga App
This month o , I order for a samsung galaxy on the 2nd of april 2016 and they told me 7 days, this is the R201853871 and today is 13 it is yet to be delivered. ;konga needs to sit up and stop joking with its customers;Mobile Phones;SHQ;Mobile Web
Some of your seller who choose a separate courier should be blacklisted cos they always try to shortchange your customers thereby soilling Kong's name;All items bought on Kong's must be shipped and delivered by Kong's.;Tablets;SHQ;Desktop Web
 When i was been given a wrong item ;Well I for one will advice that you paste the picture of the product you have rather than place a wrong picture for a better transaction ;Computing Accessories;SHQ;Mobile Web
At delivery these days, what you have in the system (Internet) is different with what is supplied. l rejected the Clipper bag l ordered because it was too small to enter or carry a clipper. but in the net, it was looking very big and good.;you must have to cross check from your vendors before you publish on the net to avoid reject from customers.;Personal Care;SHQ;Desktop Web
When trying to determine the quality and size of a product.;;Tablets;SHQ;Mobile Web
No pick up option for delivery.Delivery charge regime is really skewed against the customer;the delivery charges are a rip off of the customers, please address it, we do not have the options to pick up at the nearest konga outlet;Automotive Parts & Accessories;SHQ;Desktop Web
Nil;am very much okay with my package,what am yet to undastand its why it start and stop work at will............;Large Appliances;KWK;Konga App
At the point of delivery. KOS at Ijebu Ode branch needs to  improve its service delivery ;YOUR IJEBU ODE BRANCH OF THE KOS SHOULD IMPROVE THEIR SERVICE DELIVERY AND CUSTOMER RELATIONS. ;DVD Players;SHQ;Desktop Web
Doing delivery.;;Mobile Phones;SHQ;Mobile Web
I have no experience whatsoever with transaction issues. Kongapay has been brilliant so far;;Easter Came Early Fashion;KWK;Desktop Web
No;Improve on what you are. You are the best.;Large Appliances;KWK;Mobile Web
When I ordered a set of make up brushes n it took almost 14days for me to get it.;Well I think the shipping and delivery should be a bit faster .;Mobile Phones;KWK;Desktop Web
None;I believe Konga is the very best among its equal.;Large Appliances;KWK;Desktop Web
Delivery time;Please improve on delivery time;Solar & Alternative Energy;SHQ;Desktop Web
when order no reply is made about your order if it is coming or not.;need to know if order is coming or not and when. so that one can be on a look out. and for someone that is ordering for the first time need to know more about the  shipping of order. ;Televisions;KWK & SHQ;Desktop Web
The delivery takes longer(1st item is taking 6 days and still counting, 2nd item took 4 days);;Large Appliances;SHQ;Desktop Web
;There was a product i ordered from a particular company but it was that of another company delivered. The companies need to be sincere.;Sports;SHQ;Konga App
communicating with the delivery service before the order was delivered;e-mails should be used to communicate more. The messages to mobile phones should be duplicated exactly as is to emails as well. ;Computing Accessories;SHQ;Desktop Web
Getting a refund for a defective product;;Easter Came Early Fashion;KWK;Mobile Web
Opening of site and selection of size;no comments;Large Appliances;SHQ;Konga App
quality of products, also it unavailability but still on konga site creating the believe to customer that the product is available;please i will suggest that konga team should double check products availability and quality. ;Men's Shoes;SHQ;Desktop Web
7 days delivery stuff,;How i wish konga can deliver within 3 days ;Networking;SHQ;Desktop Web
KONGA disappoints sometimes and they mess up big time. ;brace up in the area of wide range of products available and your shipping fees should be slashed. this is an edge over your competitors I.e. Jumia. ;Mobile Phones;KWK;Mobile Web
shipping charges is unbearable;make shipping easier;Kids Clothing and Accessories;SHQ;Desktop Web
During delivery as it took exactly 5days to get to someone in lagos alone how Much more outside lag?;Lagos deliveries shouldn't take longer than 3days no matter where and if it shld the person Should be informed;Fragrances;SHQ;Mobile Web
when buying bulk item in same location delivery charge should not be on each product;delivery personnel to carry POS;Housekeeping & Pet Supplies;SHQ;Desktop Web
;Delivery fee charged on every other regardless of if you are making orders an the same time is a turn off. I didn't make more than one order because I can't pay 750 x 2 as delivery fee.;Phone and Tablet Accessories;SHQ;Konga App
Refund period;Konga should reduce the shipping fees and make sure sub standard product are replace;Tools;SHQ;Konga App
NO;ALL THE TRANSACTION I EVER MADE WITH KONGA HAS BEEN OK. ;Printers, Scanners and Accessories;SHQ;Desktop Web
I v not experinced any difficulty during my transaction with konga;One of the cloths i recieved is not really my size when i tested it. Is there a way i can return and collect my actual size?;Health;KWK & SHQ;Mobile Web
Error arising twice from purchasing with voucher;for several items purchase by same customer, delivery should be synchronized so that the delivery fee reduced. voucher should be automatically be refunded if order was cancelled due to supplier delay. the customer should not undergo additional stress by applying for refund when it was cancelled from your end.;Kids Clothing and Accessories;SHQ;Desktop Web
I was very disappointed not to get the product after five days. I am so glad I did not pay before delivery.;;Small Appliances;SHQ;Desktop Web
During calling to order for product;;Watches;SHQ;Desktop Web
no difficulty in transaction but difficulty in searching the items your site is Hocking sometimes.and the charges for the delivery is high cos no matter how small the price of a things is 1000 ;more efforts for the site in terms of searching;Toys & Activities;SHQ;Konga App
The site gets to slow most time, the delivery takes longer time than expected and the delivery fee is also kind of expensive.;Working more on the site, delivery speed and fee will be a lot better. Then I think all delivery agents should come with their POS most times. Lastly, products shouldn't be delivered through the seller itself to the buyer because of authentication of the purchased product. Konga should create more time to check products originality before delivery to the buyer.;Personal Care;SHQ;Konga App
None basically....The most difficulty was ensuring I was in the office to receive the package. ;I would like it that customers are contacted once an order package reaches their city so they can plan their schedule to receive their other.    Also CS should be quite certain when the order will arrive within the range of 48 - 72 hours. Although tracking may help sort this out. This may just be an extra service to ask for.;Books;SHQ;Desktop Web
Voucher reclaimed;Cancel of items and to get ones money or voucher back became problem from you, i have been asking for my voucher of #4,900 since last week Friday and nothing was yet to be received.;Computing Accessories;SHQ;Desktop Web
There was no point in time;The package I receive was exactly what I expected;Easter Came Early Fashion;KWK;Mobile Web
;;Women's Accessories;SHQ;Mobile Web
Not applicable ;;Generators & Power Supplies;KWK & SHQ;Mobile Web
I express difficulty in order goods and most especially if i other 2 goods konga will deliver only one which is not surpose to be so...konga should do something about this.;Konga should be able give us good servicing;Phone and Tablet Accessories;SHQ;Mobile Web
Delivery;Pls work more on your delivery services.;Games and Consoles;SHQ;Mobile Web
The website;The website should be improved speed wise. ;Hair Centre;SHQ;Mobile Web
The delivery fee suddenly rise from #500 to #750, i think that's too much. Other shopping mall's like Jumia, #450 is their  shipping fee for a long time now. So I find that more convenient. Thanks.;;Women's Wear;SHQ;Konga App
During Payment through the Konga Payment system and during delivery;Payment of items through the website to be made easier to access and the local delivery system needs to be improved, by engaging people that know the addresses and environment.;Small Appliances;KWK;Desktop Web
Delivery;Efficiency;Phone and Tablet Accessories;SHQ;Konga App
At the point where my hope was raised when i placed an order and eventually dashed when i received a mail that the order has been cancelled a few days later.;keep the good work going and be objective with criticism.;Laptops;KWK;Desktop Web
In trying to alter the quantity of products ordered immediately after an order. ;Your delivery partner,  KOS needs to get serious and be up & doing. ;Phone and Tablet Accessories;SHQ;Konga App
The delivery time was slow;The delivery time should be improved especially for areas in lagos. My last order took over 5 days before it was delivered. The last order before this one I had to cancel it because it took much more longer which I had to go and purchase in an open market.;Home Furnishings;SHQ;Mobile Web
when there was no form of calling and communication was done via mails , what if i don't have access to mail   ;;Home Theatres and Audio Systems;SHQ;Desktop Web
I got a product i'm not satisfied with. I got in touch with Konga for an exchange but never received their feedback till now. ;Just be sincere always find solutions to unsatisfactory products that customers purchase. ;Mobile Phones;KWK;Mobile Web
Nil;I suggest that you people will try to give full details including pictures of items. This is to enable us(customers ) to know more about what we are buying.;Men's Wear;SHQ;Desktop Web
No diffculty;;Mobile Phones;KWK;Konga App
Where I was to use what I bought urgently but it was not delivered untime ;konga inflate it's price too much, and others don't, and delivery should improve ;Tools;SHQ;Konga App
Putting unavailable items for shop on your site.;You must make sure what ever you display is available or indicate clearly when item will be available. It is disheartening for a customer to be told of non-availability many days after the order is placed. If you correct that I believe you have a sound company & a great opportunity. You consider supply Amazon items.;Large Appliances;SHQ;Mobile Web
None;Konga should stop charging separate shipping fees for Orders from separate shops. Other popular shopping sites do not charge shipping cost based on the shop you are buying from.;Televisions;KWK & SHQ;Konga App
Yes most of them requested for bribe in bringing the product for you expecially at uyo branch ;The charges is too high especially if I bought a t shirt if 2000naira and the shipping fee is 3000 so the price is sooi disgusting ,,, the only thing is it possible to compute 2 to more items and pay only 3000 forbrhe shipping fee I will be gladnuf that is look into;Mobile Phones;SHQ;Mobile Web
1. The delivery aspect.  2. The delivery Cost  3. Product unit cost price is too high compare to the market price.  4. On Konga the same product from different seller are of different price... WHY??????;1. Customer should have say as to when they will like their package to be deliver to them.  2. Delivery fee for 1000 items to the same address should be flat rate.;Small Appliances;SHQ;Desktop Web
No time;You guys are trying keep it up.;Tablets;KWK;Konga App
You don't deliver items whenever it reaches the destination office, items re been delayed in your office. ;Reduce your shipping cost   Review prices of some of your items  ;Safety and Security;SHQ;Mobile Web
Using the app,  sometimes takes too long to search an item. ;;Large Appliances;SHQ;Konga App
During the delivery period, it takes much time before the product are delivered!!;Still on the delivery speed, it should be faster than expected..;Mobile Phones;KWK & SHQ;Mobile Web
None ;Keep the good work up ;Laptops;KWK;Mobile Web
None;Keep up the work;Laptops;KWK;Mobile Web
Delivery of item from kings seller. Clarifications  on item procured;Coordinate well with your sellers;Large Appliances;SHQ;Desktop Web
Delivery;Improve the quality of products, reduce shipping fee ;Easter Came Early Fashion;SHQ;Konga App
Delivery.Wrong item was delivered but I'm too tired to take it up!;;Phone and Tablet Accessories;SHQ;Konga App
;A product was put on display, after ordering, I was called that it was no longer availability, that another one would be sent in its place but never received it. Probably the sellers fault but it can be controlled. Another time I ordered a washing machine, when I opened it, it looked old. I didn't just want to return it.;Large Appliances;KWK;Mobile Web
;I have never received my order at my residence but have to take two drops to collect my order;Printers, Scanners and Accessories;SHQ;Desktop Web
Ordering and confirmation of ordering by seller;Your Android app is too heavy and not flexible like the Web site. I always order on Web site but I have the app installed on my android. ;Easter Came Early Fashion;SHQ;Mobile Web
"Delivery; experience was not good.  the item delivered to a konga location 10mins away from me, and it took 48 hours to get from your depot to my location.";Delivery is still a major issue, it needs to be improved, Price are all over the place some sellers sell same item 3 times the price of others.  Your search still needs improvement.;Electronic Accessories;SHQ;Desktop Web
my voucher usage;try to refund ur customers on time;Makeup;SHQ;Desktop Web
Checking out point;Fair;Sunglasses;SHQ;Desktop Web
When I ordered a waist trainer was my size and the refused to return. Customer care was poor.;70% of shoes on Konga are ugly. Get new products and remove outdated fashion.;Women's Shoes;SHQ;Mobile Web
;;Mobile Phones;KWK;Desktop Web
Waited for 4 days after purchase no communication from Konga Staff. Later on received mail that transaction cancelled;No;Large Appliances;SHQ;Mobile Web
I do not experience any difficulty.;I think Konga need to include more product varieties. Konga prices is marginally higher than some other online shops, need to look at that.;Mobile Phones;SHQ;Desktop Web
Shipping;Shipping rates too high, buy an for 700 nd shipping fee is 1000 u bcome discourage. ;Large Appliances;SHQ;Konga App
At no point ;Delivery charges can be reduced a bit to encourage people to shop online especially if the area is close to Lagos.;Hair Centre;SHQ;Desktop Web
None.;I made an order for two items, but only only one was delivered. And no information was given to me concerning the one not delivered. ;Games and Consoles;SHQ;Desktop Web
Bought a product that spoilt( hair dryer) after using twice.;Communiting with the seller before purchase should be made easier;Makeup;SHQ;Mobile Web
At a time I need the product emergency;Nil;Women's Accessories;SHQ;Mobile Web
None which have experienced. ;The pricing at some instant is on a high side compared to Jumia. And also, the look if the mobile app on android phones is not impressive. ;Large Appliances;KWK;Desktop Web
awaiting the arrival of the item;bought a fake samsung galaxy s6 edge plus tempered glass screen protector for N6000.;Phone and Tablet Accessories;SHQ;Mobile Web
Delivery not fast;Please konga always try to see that items are shipped on time between 3-4 days ;Men's Shoes;SHQ;Konga App
My order paid for by kongapay is taking forever;Only d customer service is good ryt nw;Generators & Power Supplies;SHQ;Mobile Web
At the payment point;;Men's Shoes;SHQ;Desktop Web
;It's not only about delivering the goods on time but being able to change the product and not frustrate consumers especially when the fault is yours for eg sending a size too small;?Baby Essentials;SHQ;Mobile Web
Late delivery ;Very good concept. No need to hop from one shop to another searching for what one needs.;Mobile Phones;SHQ;Mobile Web
Have not experience difficulty so far;some product of the same size from different seller sometime have confusing details. ;Large Appliances;KWK;Desktop Web
Another product was delivered;Not easy to make returns as shippers no on d waybill is not reacheaable;Kitchen and Dining;SHQ;Desktop Web
Delivery on my washing machine...which hasn't still been delivered since 10th april;Decrease waiting period on goods delivery;Men's Wear;SHQ;Desktop Web
At the point of delivery, I requested for a POS because I had no cash on me. I was told there was no service. I had to go all the way to the bank, waited for like 30 mins before I could collect cash from the atm to pay for the ordered goods.;I suggest something should be done regarding the POS. It should work all the time.;Easter Came Early Fashion;KWK;Desktop Web
Searching for specific items can be difficult;I think the option to refine your search should be put in place. I have very small feet so getting my size is quite difficult. I have to check each shoe one after another ;Hair Centre;SHQ;Mobile Web
Shipping incomplete product. ;;Musical Equipment;SHQ;Desktop Web
None;Ok;Phone and Tablet Accessories;SHQ;Konga App
No difficulty. ;Product quality of shoes and clothing should be verified. ;Fragrances;SHQ;Mobile Web
;;Kitchen and Dining;KWK & SHQ;Desktop Web
None;Pls wen goods are cancelled just bcus it cant be shipped, kindly remove such product from konga, so we'll know such goods isn't available;Phone and Tablet Accessories;SHQ;Mobile Web
;;Hair Centre;SHQ;Desktop Web
Delivery point  ;;Small Appliances;SHQ;Konga App
Shpping from lagos to abuja takaing 7 days is totally unacceptable. and I paid N1000 for that?;offer better shipping options. ;Home Furnishings;SHQ;Desktop Web
Delivery;The delivery time should be faster and the the workers who deliver the products should be more polite and always bring a pos.;Phone and Tablet Accessories;SHQ;Mobile Web
When my purchase was being delivered to me.... I had to take a bus to get to my purchase. And they told me it was going to be home 'delivered'. ;Home delivery shouldn't be hard. Yes, your couriers get mugged a couple of times  but thats the risk in home delivery. That doesn't mean I have to get a bus to get to my package when i paid #750 per purchase because your courier is scared of being mugged. Thats not what i paid for;Personal Care;SHQ;Konga App
;;Large Appliances;SHQ;Konga App
I don't have any;please reduce your delivery charges;Home Theatres and Audio Systems;SHQ;Mobile Web
;;Televisions;SHQ;Mobile Web
;;Solar & Alternative Energy;SHQ;Desktop Web
Nil ;Problem I have is that items are not delivered to your door step but collected at Central point at your location. Some companies deliver at your door step. You need to improve on that as it can be a times very inconveniencing to go to the collection point. We have our traceable  addresses indicated, the company should as much as possible use that. ;Phone and Tablet Accessories;SHQ;Desktop Web
None;;Personal Care;SHQ;Mobile Web
I changed my address but Konga still brought the phone to the former address.I didnt like that at all;;Mobile Phones;SHQ;Desktop Web
My second to the last delivery was done through post office, as a result delivery of the order was delayed.;Please let us have the opportunity of bargaining with the retailer.;Phone and Tablet Accessories;SHQ;Mobile Web
Delivery service ;I will love it if the delivery service is improved, it took Konga 7days to deliver my order even when I'm in Lagos. Thanks ;Mobile Phones;SHQ;Mobile Web
Delivery. They can send u mail that your goods is on d way and you have to wait for days to receive it;Improve your delivery service. You can't keep money forever waiting for somebody ;Computing Accessories;SHQ;Mobile Web
Not at all ;Go on;Easter Came Early Fashion;KWK;Konga App
;;Women's Accessories;SHQ;Konga App
extremely slow delivery Jumia is faster;;Konga Fashion;SHQ;Mobile Web
Delivery point. It didn't arrive as at when specified & I wasn't also informed ahead about the new delivery day.;;Cameras;SHQ;Mobile Web
;I always forget my pin for KongaPay and i'll like for you to reset BUT the next thing I'll see is that my KongaPay has been cancelled. why is that?;Valentine Shop;SHQ;Desktop Web
Non;;Health;SHQ;Konga App
Registration on the website;No comments;Generators & Power Supplies;SHQ;Desktop Web
no;yes;Fitness;SHQ;Desktop Web
Slow speed of delivery. I believe it can be faster. ;The delivery speed can be worked on. This is why the Business in place for convienence and speed. ;Mobile Phones;SHQ;Mobile Web
;;Easter Came Early Fashion;KWK;Mobile Web
;I live in Delta State, I think if you guys have Pick Up Centres in major cities of the states in the country, I think products bought from Konga and sent to the Pick up centres as delivery point should be over charged. This should reduced to delivery fee to a reasonable amount because someone cannot buy an item that the delivery fee will be more than the amount used in buying the product. Another issue is, if I am buying three different products from Konga, why will each item be charged separate delivery charge when they are all going to the same delivery address? Please this is not fair. ;Men's Accessories;SHQ;Desktop Web
no time;good;Large Appliances;SHQ;Desktop Web
No time at all;;Watches;SHQ;Konga App
None;Keep up the quality service;Mobile Phones;KWK;Mobile Web
most time i found out that i am the one that does the calling, it is very uncomfortable..one of your delivery men refuse to give me my change even though he was having it,,wanted me to give him as tip..yes the bike guys not the car guys;please for us to trust better,increase transparency, the printer i bought doesn't have a printer cable...it sound strange..really..new printer without printer cable;Housekeeping & Pet Supplies;KWK & SHQ;Desktop Web
Am not satisfied with the delivery of my last item and the current one which is taking too long;I think you should work on your delivery time. You guys can even provide speed delivery of within 1-3days and charge buyers accordingly, thank you.;Women's Accessories;SHQ;Konga App
;Keep moving, but shipping and handling fees is too cost. Prices of some products are not fair. ;Printers, Scanners and Accessories;KWK;Konga App
Waiting time for delivery is too long;Urgently manage these areas.  1. Fast track delivery.  2. Coordinate your vendors and sanction or blacklist those that deliver late.  3. Reduce your cost of delivery by 70%;Men's Wear;SHQ;Desktop Web
Incomplete delivery;Make sure you guys confirm a customer oder before delivering. Not every cutomer will be available to recieve the item, mostly its 'on-bahalf of' and the receiver wont open up until the owner is arround.;Automotive Parts & Accessories;SHQ;Desktop Web
;;Tablets;SHQ;Mobile Web
at the point of payment because the shipping of items in the cart is charged differently if they are not from the same seller which actually increases the cost of the items in the cart. This actually discourages me at times and I end up removing items I would have paid for if the shipping fee was consolidated which is cheaper.;Your shipping fees should be consolidated like what your competition does because this will boost your sales. Also,your dispatch/delivery personnel especially in Portharcourt where I reside, should allow customers inspect the items ordered especially food items to ensure the right order(s) was sent. They would want you to sign first before inspection which I find very disturbing. They should be the ones to encourage customers to inspect their order(s) and in doing so Konga will further gain the trust of her customers.;?Baby Essentials;SHQ;Mobile Web
N/A;.;Kitchen and Dining;SHQ;Konga App
Processing the order ;Impressive;Mobile Phones;KWK;Desktop Web
NONE;Awesome service.;Large Appliances;KWK;Desktop Web
;;Games and Consoles;SHQ;Desktop Web
;;Mobile Phones;KWK;Desktop Web
Delivery is very slow;;Health;SHQ;Desktop Web
proceeding to checkout;delivery service should be upgraded.;Women's Shoes;SHQ;Mobile Web
;;Large Appliances;SHQ;Desktop Web
;;Large Appliances;SHQ;Desktop Web
Getting a refund of my money which was deduced twice;;Kitchen and Dining;KWK & SHQ;Desktop Web
Planning is difficult as most times you don't have advance notice of delivery. Some delivery men show up without POS.;1. Call/email customers to notify of planned delivery date and time. 2. Make POS available for deliveries. 3. Provide option to collect items from Konga office while buying on the website.;Men's Shoes;SHQ;Mobile Web
;;Home Furnishings;SHQ;Mobile Web
NOPE;GOOD;Large Appliances;KWK & SHQ;Desktop Web
My transaction on Konga.com is always smooth, especially with the KongaPay that allows me enjoy some discount.;My last pick up experience was a bit disappointing. This was due to the fact that I purchased the qasa rechargeable fan deal with free kettle. When I went to pick up, I got one kettle for purchasing 2 fans, instead of two  kettles. Tho, I called customer care right there at the KOS centre, I received an email afterwards, so I am expecting to receive that one kettle.    I hope I can still vouch for Konga's integrity. Please, don't let some employee rubbish that.    Regards.;Large Appliances;KWK;Desktop Web
I just got my order delivered and the product was fake so I told the driver to take back the product and he said I should call the seller which I did and the seller refused to take back his product saying thay konga wont pay him his commition if he colle ts it and I am far away from him in order not to make a scene I allowed the driver to go;For the sake of other buyers,  because I wont buy from konga again and I will delete to products on my shopping cart.. Please make sure that the product your seller gives you to sell is original and not fake;Makeup;SHQ;Mobile Web
When i was about ti change my delivery location;Please, make your line free. At least! ;Tools;SHQ;Desktop Web
None;Konga should endeavor to apply "What You See Is What You Get - WYSIWYG" on its website. A situation where the item supplied is at variance with what is on the website in terms of description and looks is very discouraging. 100% copy and paste of product description and pictures should be avoided. For example a particular manufacture may produce different variants of the SAME product with corresponding price tags. It is misleading to apply similar description on all of them simply because they are from the same manufacturer, especially when these items are supplied by different vendors.    Some of your vendors use known manufacturers to advertise their products only for them to supply substandard items from fake manufacturers. Your Quality Control Team are not doing well in this area.    Should your require clarifications, please call me.;Fitness;SHQ;Desktop Web
The mobile app didn't give the #2000 coupon;The mobile app didn't give the #2000 coupon;Mobile Phones;KWK;Desktop Web
"at that point when order is placed  and before the good is dispatched; its very quiet. ";one of the area is authenticating shops that sell product because i had a difficult experience ordering an item that wasn't shipped/available and wait for like a week before getting a refund.  ;Phone and Tablet Accessories;SHQ;Desktop Web
transaction was ok;improve on the delivery day.thanks;Large Appliances;KWK;Konga App
When trying to pay through Kongapay.;Reduce the prize of shipping, and also make it easier to pay through. Konga pay.;Mobile Phones;KWK;Mobile Web
conveying goods from last distribution center to custome's location when large;Keep the goodwork and improve in prize and final distribution.;Large Appliances;KWK;Desktop Web
from d beginning to the end  ;you need to go back to board and see if u can continue with d bussiness;Projectors & Accessories;SHQ;Desktop Web
i just placed an order,1) i cant track the first order,2) i recieved  an email that the second order has been cancelled because the seller did not ship on time;make sure only trusted sellers are on the site;Hair Centre;SHQ;Desktop Web
Am new in d system , still waiting for what I ordered.;;Kitchen and Dining;SHQ;Konga App
Delivery, taking so much time.;;Sportswear;SHQ;Mobile Web
at the point of shipping;I feel konga should improve on delivery time in order to beat competition. ;Mobile Phones;KWK;Desktop Web
Time of delivery;Konga should try to make delivery of all packages at once ;Tablets;SHQ;Mobile Web
;;Large Appliances;KWK;Mobile Web
;;Phone and Tablet Accessories;SHQ;Konga App
At time of dalivery ;Am fully satisfy with ur service ;Small Appliances;KWK & SHQ;Konga App
